Id,Title,IsUpgraded,Tier,TierSource,TrainingLabel,Axes,Tags,UpgradeCost,UpgradeDesc,Cost,Type,Rarity,Pool,Character,Score,Description,Keywords,SynergyAxesSource,Notes,TierModel,TierModelDelta,TierModelScore
CARD.DEATHBRINGER,죽음 인도자+,True,S,ml-published,A,DOOM_PRODUCER;AOE_OTHER;AOE_DEBUFF;DEBUFF;WEAK,광역;약화,,,2,Skill,Uncommon,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,70,"모든 적에게 [gold]종말[/gold]을 26,
[gold]약화[/gold]를 1 부여합니다.",,DOOM|AOE,,S,+1,3.95
CARD.DEATHBRINGER,죽음 인도자,False,S,ml-published,A,DOOM_PRODUCER;AOE_OTHER;AOE_DEBUFF;DEBUFF;WEAK,광역;약화,,"모든 적에게 [gold]종말[/gold]을 26,
[gold]약화[/gold]를 1 부여합니다.",2,Skill,Uncommon,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,67,"모든 적에게 [gold]종말[/gold]을 21,
[gold]약화[/gold]를 1 부여합니다.",,DOOM|AOE,,S,+1,3.95
CARD.DEATHS_DOOR,죽음의 문턱+,True,A,ml-published,S,BLOCK;DOOM_PRODUCER,방어,,,1,Skill,Uncommon,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,75,"[gold]방어도[/gold]를 7 얻습니다.
이번 턴에 [gold]종말[/gold]을
부여했다면, [gold]방어도[/gold]를
2번 추가로 얻습니다.",,BLOCK|DOOM,,A,-1,2.80
CARD.DEATHS_DOOR,죽음의 문턱,False,A,ml-published,S,BLOCK;DOOM_PRODUCER,방어,,"[gold]방어도[/gold]를 7 얻습니다.
이번 턴에 [gold]종말[/gold]을
부여했다면, [gold]방어도[/gold]를
2번 추가로 얻습니다.",1,Skill,Uncommon,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,72,"[gold]방어도[/gold]를 6 얻습니다.
이번 턴에 [gold]종말[/gold]을
부여했다면, [gold]방어도[/gold]를
2번 추가로 얻습니다.",,BLOCK|DOOM,,A,-1,2.94
CARD.DEATH_MARCH,죽음의 행진+,True,D,ml-published,B,SCALING;DURATION,,,,1,Attack,Uncommon,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,56,"피해를 9 줍니다.
내 턴 동안 뽑은 카드
1장당 피해량이
4 증가합니다.",,SCALING,,D,-2,0.05
CARD.DEATH_MARCH,죽음의 행진,False,D,ml-published,B,SCALING;DURATION,,,"피해를 9 줍니다.
내 턴 동안 뽑은 카드
1장당 피해량이
4 증가합니다.",1,Attack,Uncommon,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,53,"피해를 8 줍니다.
내 턴 동안 뽑은 카드
1장당 피해량이
3 증가합니다.",,SCALING,,D,-2,0.05
CARD.DEBILITATE,쇠락+,True,S,ml-published,B,DEBUFF;VULN;WEAK;DURATION,취약;약화,,,1,Attack,Uncommon,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,58,"피해를 12 줍니다.
다음 4턴 동안
이 적을 대상으로 하는
[gold]취약[/gold]과 [gold]약화[/gold]의 효과가
2배가 됩니다.",,,,S,+2,3.53
CARD.DEBILITATE,쇠락,False,S,ml-published,B,DEBUFF;VULN;WEAK;DURATION,취약;약화,,"피해를 12 줍니다.
다음 4턴 동안
이 적을 대상으로 하는
[gold]취약[/gold]과 [gold]약화[/gold]의 효과가
2배가 됩니다.",1,Attack,Uncommon,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,55,"피해를 10 줍니다.
다음 3턴 동안
이 적을 대상으로 하는
[gold]취약[/gold]과 [gold]약화[/gold]의 효과가
2배가 됩니다.",,,,S,+2,3.89
CARD.DEBRIS,잔해,False,D,ml-published,D,EXHAUST_TAG,소모,,,1,Status,Status,CARD_POOL.STATUS_CARD_POOL,CARD_POOL.STATUS_CARD_POOL,32,[gold]소멸[/gold].,Exhaust,EXHAUST,,D,0,1.21
CARD.DECISIONS_DECISIONS,어려운 결정+,True,B,ml-published,A,EXHAUST_TAG;DRAW,드로우;소모,,,0,Skill,Rare,CARD_POOL.REGENT_CARD_POOL,CARD_POOL.REGENT_CARD_POOL,67,"카드를 5장 뽑습니다.
[gold]손[/gold]에 있는 스킬 카드를
1장 선택해 3번
사용합니다.
[gold]소멸[/gold].",Exhaust,EXHAUST,,B,-1,2.05
CARD.DECISIONS_DECISIONS,어려운 결정,False,B,ml-published,A,EXHAUST_TAG;DRAW,드로우;소모,,"카드를 5장 뽑습니다.
[gold]손[/gold]에 있는 스킬 카드를
1장 선택해 3번
사용합니다.
[gold]소멸[/gold].",0,Skill,Rare,CARD_POOL.REGENT_CARD_POOL,CARD_POOL.REGENT_CARD_POOL,64,"카드를 3장 뽑습니다.
[gold]손[/gold]에 있는 스킬 카드를
1장 선택해 3번
사용합니다.
[gold]소멸[/gold].",Exhaust,EXHAUST,,B,-1,2.28
CARD.DEFEND_DEFECT,수비+,True,B,ml-published,B,BLOCK,방어,,,1,Skill,Basic,CARD_POOL.DEFECT_CARD_POOL,CARD_POOL.DEFECT_CARD_POOL,50,[gold]방어도[/gold]를 8 얻습니다.,Defend,BLOCK,,B,0,1.94
CARD.DEFEND_DEFECT,수비,False,B,ml-published,C,BLOCK,방어,,[gold]방어도[/gold]를 8 얻습니다.,1,Skill,Basic,CARD_POOL.DEFECT_CARD_POOL,CARD_POOL.DEFECT_CARD_POOL,47,[gold]방어도[/gold]를 5 얻습니다.,Defend,BLOCK,,B,0,1.45
CARD.DEFEND_IRONCLAD,수비+,True,B,ml-published,B,BLOCK,방어,,,1,Skill,Basic,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,53,[gold]방어도[/gold]를 8 얻습니다.,Defend,BLOCK,,B,0,1.94
CARD.DEFEND_IRONCLAD,수비,False,B,ml-published,B,BLOCK,방어,,[gold]방어도[/gold]를 8 얻습니다.,1,Skill,Basic,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,50,[gold]방어도[/gold]를 5 얻습니다.,Defend,BLOCK,,B,0,1.45
CARD.DEFEND_NECROBINDER,수비+,True,B,ml-published,B,BLOCK,방어,,,1,Skill,Basic,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,50,[gold]방어도[/gold]를 8 얻습니다.,Defend,BLOCK,,B,0,1.94
CARD.DEFEND_NECROBINDER,수비,False,B,ml-published,C,BLOCK,방어,,[gold]방어도[/gold]를 8 얻습니다.,1,Skill,Basic,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,47,[gold]방어도[/gold]를 5 얻습니다.,Defend,BLOCK,,B,0,1.45
CARD.DEFEND_REGENT,수비+,True,B,ml-published,B,BLOCK,방어,,,1,Skill,Basic,CARD_POOL.REGENT_CARD_POOL,CARD_POOL.REGENT_CARD_POOL,50,[gold]방어도[/gold]를 8 얻습니다.,Defend,BLOCK,,B,0,1.94
CARD.DEFEND_REGENT,수비,False,B,ml-published,C,BLOCK,방어,,[gold]방어도[/gold]를 8 얻습니다.,1,Skill,Basic,CARD_POOL.REGENT_CARD_POOL,CARD_POOL.REGENT_CARD_POOL,47,[gold]방어도[/gold]를 5 얻습니다.,Defend,BLOCK,,B,0,1.45
CARD.DEFEND_SILENT,수비+,True,B,ml-published,B,BLOCK,방어,,,1,Skill,Basic,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,50,[gold]방어도[/gold]를 8 얻습니다.,Defend,BLOCK,,B,0,1.94
CARD.DEFEND_SILENT,수비,False,B,ml-published,C,BLOCK,방어,,[gold]방어도[/gold]를 8 얻습니다.,1,Skill,Basic,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,47,[gold]방어도[/gold]를 5 얻습니다.,Defend,BLOCK,,B,0,1.45
CARD.DEFILE,모독+,True,B,ml-published,B,POISON;ETHEREAL_SELF,,,,1,Attack,Common,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,58,"[gold]휘발성[/gold].
피해를 17 줍니다.",Ethereal,POISON,,B,0,1.96
CARD.DEFILE,모독,False,B,ml-published,B,POISON;ETHEREAL_SELF,,,"[gold]휘발성[/gold].
피해를 17 줍니다.",1,Attack,Common,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,55,"[gold]휘발성[/gold].
피해를 13 줍니다.",Ethereal,POISON,,B,0,1.94
CARD.DEFLECT,튕겨내기+,True,B,ml-published,A,BLOCK,방어,,,0,Skill,Common,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,60,[gold]방어도[/gold]를 7 얻습니다.,,BLOCK,,B,-1,2.06
CARD.DEFLECT,튕겨내기,False,B,ml-published,B,BLOCK,방어,,[gold]방어도[/gold]를 7 얻습니다.,0,Skill,Common,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,57,[gold]방어도[/gold]를 4 얻습니다.,,BLOCK,,B,-1,2.27
CARD.DEFRAGMENT,조각모음+,True,S,ml-published,A,,,,,1,Power,Rare,CARD_POOL.DEFECT_CARD_POOL,CARD_POOL.DEFECT_CARD_POOL,64,[gold]밀집[/gold]을 2 얻습니다.,,,,S,+1,3.21
CARD.DEFRAGMENT,조각모음,False,S,ml-published,A,,,,[gold]밀집[/gold]을 2 얻습니다.,1,Power,Rare,CARD_POOL.DEFECT_CARD_POOL,CARD_POOL.DEFECT_CARD_POOL,61,[gold]밀집[/gold]을 1 얻습니다.,,,,S,+1,3.21
CARD.DEFY,반항+,True,S,ml-published,A,BLOCK;ETHEREAL_SELF;DEBUFF;WEAK;VOLATILE_PRODUCER,방어;약화,,,1,Skill,Common,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,65,"[gold]휘발성[/gold].
[gold]방어도[/gold]를 9 얻습니다.
[gold]약화[/gold]를 1 부여합니다.",Ethereal,BLOCK,,S,+1,3.67
CARD.DEFY,반항,False,S,ml-published,A,BLOCK;ETHEREAL_SELF;DEBUFF;WEAK;VOLATILE_PRODUCER,방어;약화,,"[gold]휘발성[/gold].
[gold]방어도[/gold]를 9 얻습니다.
[gold]약화[/gold]를 1 부여합니다.",1,Skill,Common,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,62,"[gold]휘발성[/gold].
[gold]방어도[/gold]를 6 얻습니다.
[gold]약화[/gold]를 1 부여합니다.",Ethereal,BLOCK,,S,+1,3.72
CARD.DELAY,지연+,True,A,ml-published,S,BLOCK;ENERGY,방어;에너지,,,2,Skill,Uncommon,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,72,"[gold]방어도[/gold]를 13 얻습니다.
다음 턴에,
[img]res://images/packed/sprite_fonts/necrobinder_energy_icon.png[/img][img]res://images/packed/sprite_fonts/necrobinder_energy_icon.png[/img]를 얻습니다.",,BLOCK|ENERGY,,A,-1,2.80
CARD.DELAY,지연,False,A,ml-published,A,BLOCK;ENERGY,방어;에너지,,"[gold]방어도[/gold]를 13 얻습니다.
다음 턴에,
[img]res://images/packed/sprite_fonts/necrobinder_energy_icon.png[/img][img]res://images/packed/sprite_fonts/necrobinder_energy_icon.png[/img]를 얻습니다.",2,Skill,Uncommon,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,69,"[gold]방어도[/gold]를 11 얻습니다.
다음 턴에,
[img]res://images/packed/sprite_fonts/necrobinder_energy_icon.png[/img]를 얻습니다.",,BLOCK|ENERGY,,A,-1,2.95
CARD.DEMESNE,권역+,True,S,ml-published,S,ENERGY;ETHEREAL_SELF;DRAW;VOLATILE_PRODUCER,드로우;에너지,,,2,Power,Rare,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,75,"[gold]휘발성[/gold].
내 턴 시작 시,
[img]res://images/packed/sprite_fonts/necrobinder_energy_icon.png[/img]를 얻고 카드를
추가로 1장 뽑습니다.",Ethereal,ENERGY,,S,0,3.87
CARD.DEMESNE,권역,False,S,ml-published,S,ENERGY;ETHEREAL_SELF;DRAW;VOLATILE_PRODUCER,드로우;에너지;강화 가치,2,,3,Power,Rare,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,72,"[gold]휘발성[/gold].
내 턴 시작 시,
[img]res://images/packed/sprite_fonts/necrobinder_energy_icon.png[/img]를 얻고 카드를
추가로 1장 뽑습니다.",Ethereal,ENERGY,,S,0,3.96
CARD.DEMONIC_SHIELD,악마의 방패+,True,A,ml-published,A,BLOCK;EXHAUST_TAG,방어,,,0,Skill,Uncommon,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,66,"체력을 1 잃습니다.
다른 플레이어에게 자신의
[gold]방어도[/gold]와 동일한 만큼의
[gold]방어도[/gold]를 줍니다.",Exhaust,BLOCK,,A,-1,3.18
CARD.DEMONIC_SHIELD,악마의 방패,False,A,ml-published,S,EXHAUST_TAG;BLOCK,방어;소모,,"체력을 1 잃습니다.
다른 플레이어에게 자신의
[gold]방어도[/gold]와 동일한 만큼의
[gold]방어도[/gold]를 줍니다.",0,Skill,Uncommon,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,75,"체력을 1 잃습니다.
다른 플레이어에게 자신의
[gold]방어도[/gold]와 동일한 만큼의
[gold]방어도[/gold]를 줍니다.
[gold]소멸[/gold].",Exhaust,EXHAUST|BLOCK,,A,-1,3.39
CARD.DEMON_FORM,악마의 형상+,True,C,ml-published,A,,,,,3,Power,Rare,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,61,"내 턴 시작 시,
[gold]힘[/gold]을 3 얻습니다.",,,,C,-2,1.46
CARD.DEMON_FORM,악마의 형상,False,C,ml-published,B,,,,"내 턴 시작 시,
[gold]힘[/gold]을 3 얻습니다.",3,Power,Rare,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,58,"내 턴 시작 시,
[gold]힘[/gold]을 2 얻습니다.",,,,C,-2,1.63
CARD.DEVASTATE,초토화+,True,A,ml-published,B,,,,,1,Attack,Uncommon,CARD_POOL.REGENT_CARD_POOL,CARD_POOL.REGENT_CARD_POOL,54,피해를 40 줍니다.,,,,A,+1,2.86
CARD.DEVASTATE,초토화,False,A,ml-published,B,,,,피해를 40 줍니다.,1,Attack,Uncommon,CARD_POOL.REGENT_CARD_POOL,CARD_POOL.REGENT_CARD_POOL,51,피해를 30 줍니다.,,,,A,+1,2.75
CARD.DEVOUR_LIFE,생명 삼키기+,True,A,ml-published,S,SOUL_PRODUCER;SOUL_CONSUMER,,,,1,Power,Rare,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,77,"[gold]영혼[/gold]을 사용할 때마다,
[gold]소환[/gold] 2.",,SOUL,,A,-1,2.87
CARD.DEVOUR_LIFE,생명 삼키기,False,A,ml-published,S,SOUL_PRODUCER;SOUL_CONSUMER,,,"[gold]영혼[/gold]을 사용할 때마다,
[gold]소환[/gold] 2.",1,Power,Rare,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,74,"[gold]영혼[/gold]을 사용할 때마다,
[gold]소환[/gold] 1.",,SOUL,,A,-1,2.86
CARD.DIRGE,장송가+,True,A,ml-published,S,EXHAUST_TAG;SOUL_PRODUCER,소모,,,0,Skill,Uncommon,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,80,"X번 [gold]소환[/gold] 4.
[gold]뽑을 카드 더미[/gold]에 [gold][green]영혼+[/green][/gold]을
X장 추가합니다.
[gold]소멸[/gold].",Exhaust,EXHAUST|SOUL,,A,-1,2.93
CARD.DIRGE,장송가,False,A,ml-published,S,EXHAUST_TAG;SOUL_PRODUCER,소모,,"X번 [gold]소환[/gold] 4.
[gold]뽑을 카드 더미[/gold]에 [gold][green]영혼+[/green][/gold]을
X장 추가합니다.
[gold]소멸[/gold].",0,Skill,Uncommon,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,77,"X번 [gold]소환[/gold] 3.
[gold]뽑을 카드 더미[/gold]에 [gold][green]영혼+[/green][/gold]을
X장 추가합니다.
[gold]소멸[/gold].",Exhaust,EXHAUST|SOUL,,A,-1,2.92
CARD.DISCOVERY,발견+,True,A,ml-published,B,EXHAUST_TAG;RANDOM;DURATION,주의,,,1,Skill,Uncommon,CARD_POOL.COLORLESS_CARD_POOL,CARD_POOL.COLORLESS_CARD_POOL,55,"무작위 카드 3장 중 1장을
선택해 [gold]손[/gold]으로 가져옵니다.
이번 턴 동안 그 카드를
비용 없이 사용할 수 있습니다.",Exhaust,,,A,0,2.90
CARD.DISCOVERY,발견,False,A,ml-published,A,EXHAUST_TAG;RANDOM;DURATION,소모;주의,,"무작위 카드 3장 중 1장을
선택해 [gold]손[/gold]으로 가져옵니다.
이번 턴 동안 그 카드를
비용 없이 사용할 수 있습니다.",1,Skill,Uncommon,CARD_POOL.COLORLESS_CARD_POOL,CARD_POOL.COLORLESS_CARD_POOL,60,"무작위 카드 3장 중 1장을
선택해 [gold]손[/gold]으로 가져옵니다.
이번 턴 동안 그 카드를
비용 없이 사용할 수 있습니다.
[gold]소멸[/gold].",Exhaust,EXHAUST,,A,0,2.79
CARD.DISINTEGRATION,분해,False,D,ml-published,D,,,,,-1,Status,Status,CARD_POOL.TOKEN_CARD_POOL,CARD_POOL.TOKEN_CARD_POOL,28,"내 턴 종료 시,
피해를 6 받습니다.",,,,D,0,0.65
CARD.DISMANTLE,해체+,True,A,ml-published,B,DEBUFF;VULN,취약,,,1,Attack,Uncommon,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,59,"피해를 10 줍니다.
대상 적이 [gold]취약[/gold] 상태라면,
2번 적중합니다.",,,,A,+1,2.77
CARD.DISMANTLE,해체,False,A,ml-published,B,DEBUFF;VULN,취약,,"피해를 10 줍니다.
대상 적이 [gold]취약[/gold] 상태라면,
2번 적중합니다.",1,Attack,Uncommon,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,56,"피해를 8 줍니다.
대상 적이 [gold]취약[/gold] 상태라면,
2번 적중합니다.",,,,A,+1,2.74
CARD.DISTRACTION,방해+,True,A,ml-published,A,EXHAUST_TAG;RANDOM;DURATION,소모;주의,,,0,Skill,Event,CARD_POOL.EVENT_CARD_POOL,CARD_POOL.EVENT_CARD_POOL,60,"무작위 스킬 카드를 1장
[gold]손[/gold]으로 가져옵니다.
이번 턴 동안 그 카드를
비용 없이 사용할 수 있습니다.
[gold]소멸[/gold].",Exhaust,EXHAUST,,A,0,2.79
CARD.DISTRACTION,방해,False,A,ml-published,B,EXHAUST_TAG;RANDOM;DURATION,소모;주의;강화 가치++,0,,1,Skill,Event,CARD_POOL.EVENT_CARD_POOL,CARD_POOL.EVENT_CARD_POOL,57,"무작위 스킬 카드를 1장
[gold]손[/gold]으로 가져옵니다.
이번 턴 동안 그 카드를
비용 없이 사용할 수 있습니다.
[gold]소멸[/gold].",Exhaust,EXHAUST,,A,0,2.70
CARD.DODGE_AND_ROLL,구르기+,True,A,ml-published,A,BLOCK,방어,,,1,Skill,Common,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,60,"[gold]방어도[/gold]를 6 얻습니다.
다음 턴에,
[gold]방어도[/gold]를 6 얻습니다.",,BLOCK,,A,0,2.70
CARD.DODGE_AND_ROLL,구르기,False,A,ml-published,B,BLOCK,방어,,"[gold]방어도[/gold]를 6 얻습니다.
다음 턴에,
[gold]방어도[/gold]를 6 얻습니다.",1,Skill,Common,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,57,"[gold]방어도[/gold]를 4 얻습니다.
다음 턴에,
[gold]방어도[/gold]를 4 얻습니다.",,BLOCK,,A,0,2.66
CARD.DOMINATE,제압+,True,S,ml-published,S,EXHAUST_TAG;DEBUFF;VULN,소모;취약,,,1,Skill,Uncommon,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,77,"[gold]취약[/gold]을 2 부여합니다.
대상 적이 보유한 [gold]취약[/gold]마다
[gold]힘[/gold]을 1 얻습니다.
[gold]소멸[/gold].",Exhaust,EXHAUST,,S,0,3.83
CARD.DOMINATE,제압,False,S,ml-published,S,EXHAUST_TAG;DEBUFF;VULN,소모;취약,,"[gold]취약[/gold]을 2 부여합니다.
대상 적이 보유한 [gold]취약[/gold]마다
[gold]힘[/gold]을 1 얻습니다.
[gold]소멸[/gold].",1,Skill,Uncommon,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,74,"[gold]취약[/gold]을 1 부여합니다.
대상 적이 보유한 [gold]취약[/gold]마다
[gold]힘[/gold]을 1 얻습니다.
[gold]소멸[/gold].",Exhaust,EXHAUST,,S,0,3.72
CARD.DOUBLE_ENERGY,에너자이저+,True,B,ml-published,A,EXHAUST_TAG;ENERGY,소모,,,0,Skill,Uncommon,CARD_POOL.DEFECT_CARD_POOL,CARD_POOL.DEFECT_CARD_POOL,71,"에너지가 2배가 됩니다.
[gold]소멸[/gold].",Exhaust,EXHAUST|ENERGY,,B,-1,2.23
CARD.DOUBLE_ENERGY,에너자이저,False,B,ml-published,A,EXHAUST_TAG;ENERGY,소모;강화 가치++,0,,1,Skill,Uncommon,CARD_POOL.DEFECT_CARD_POOL,CARD_POOL.DEFECT_CARD_POOL,68,"에너지가 2배가 됩니다.
[gold]소멸[/gold].",Exhaust,EXHAUST|ENERGY,,B,-1,2.26
CARD.DRAIN_POWER,기력 흡수+,True,B,ml-published,B,SCALING;RANDOM,주의,,,1,Attack,Common,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,59,"피해를 12 줍니다.
[gold]버린 카드 더미[/gold]에 있는
무작위 카드를 3장
[gold]강화[/gold]합니다.",,SCALING,,B,0,2.02
CARD.DRAIN_POWER,기력 흡수,False,B,ml-published,B,SCALING;RANDOM,주의,,"피해를 12 줍니다.
[gold]버린 카드 더미[/gold]에 있는
무작위 카드를 3장
[gold]강화[/gold]합니다.",1,Attack,Common,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,56,"피해를 10 줍니다.
[gold]버린 카드 더미[/gold]에 있는
무작위 카드를 2장
[gold]강화[/gold]합니다.",,SCALING,,B,0,2.04
CARD.DRAMATIC_ENTRANCE,극적인 입장+,True,A,ml-published,A,EXHAUST_TAG;AOE_OTHER;INNATE_SELF;AOE_DAMAGE,소모;광역,,,0,Attack,Uncommon,CARD_POOL.COLORLESS_CARD_POOL,CARD_POOL.COLORLESS_CARD_POOL,64,"[gold]선천성[/gold].
모든 적에게
피해를 15 줍니다.
[gold]소멸[/gold].",Exhaust|Innate,EXHAUST|AOE,,A,0,2.92
CARD.DRAMATIC_ENTRANCE,극적인 입장,False,A,ml-published,A,EXHAUST_TAG;AOE_OTHER;INNATE_SELF;AOE_DAMAGE,소모;광역,,"[gold]선천성[/gold].
모든 적에게
피해를 15 줍니다.
[gold]소멸[/gold].",0,Attack,Uncommon,CARD_POOL.COLORLESS_CARD_POOL,CARD_POOL.COLORLESS_CARD_POOL,61,"[gold]선천성[/gold].
모든 적에게
피해를 11 줍니다.
[gold]소멸[/gold].",Exhaust|Innate,EXHAUST|AOE,,A,0,2.84
CARD.DREDGE,추출+,True,B,ml-published,A,EXHAUST_TAG;RETAIN_SELF,소모,,,1,Skill,Uncommon,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,66,"[gold]보존[/gold].
[gold]버린 카드 더미[/gold]에서 카드를
3장 [gold]손[/gold]으로 가져옵니다.
[gold]소멸[/gold].",Exhaust|Retain,EXHAUST,,B,-1,2.03
CARD.DREDGE,추출,False,B,ml-published,A,EXHAUST_TAG,소모;강화 가치,,"[gold]보존[/gold].
[gold]버린 카드 더미[/gold]에서 카드를
3장 [gold]손[/gold]으로 가져옵니다.
[gold]소멸[/gold].",1,Skill,Uncommon,CARD_POOL.NECROBINDER_CARD_POOL,CARD_POOL.NECROBINDER_CARD_POOL,63,"[gold]버린 카드 더미[/gold]에서 카드를
3장 [gold]손[/gold]으로 가져옵니다.
[gold]소멸[/gold].",Exhaust,EXHAUST,,B,-1,2.23
CARD.DRUM_OF_BATTLE,전투의 북소리+,True,C,ml-published,A,EXHAUST_TAG;DRAW;EXHAUST_PRODUCER,드로우;소모,,,0,Power,Uncommon,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,70,"카드를 3장 뽑습니다.
내 턴 시작 시,
[gold]뽑을 카드 더미[/gold] 맨 위의
카드를 [gold]소멸[/gold]시킵니다.",,EXHAUST,,C,-2,1.12
CARD.DRUM_OF_BATTLE,전투의 북소리,False,C,ml-published,A,EXHAUST_TAG;DRAW;EXHAUST_PRODUCER,드로우;소모,,"카드를 3장 뽑습니다.
내 턴 시작 시,
[gold]뽑을 카드 더미[/gold] 맨 위의
카드를 [gold]소멸[/gold]시킵니다.",0,Power,Uncommon,CARD_POOL.IRONCLAD_CARD_POOL,CARD_POOL.IRONCLAD_CARD_POOL,67,"카드를 2장 뽑습니다.
내 턴 시작 시,
[gold]뽑을 카드 더미[/gold] 맨 위의
카드를 [gold]소멸[/gold]시킵니다.",,EXHAUST,,C,-2,1.07
CARD.DUALCAST,이중 시전+,True,B,ml-published,B,ORB_PRODUCER,,,,0,Skill,Basic,CARD_POOL.DEFECT_CARD_POOL,CARD_POOL.DEFECT_CARD_POOL,56,"가장 오른쪽의 구체를
2번 [gold]발현[/gold]합니다.",,ORB,,B,0,2.19
CARD.DUALCAST,이중 시전,False,B,ml-published,B,ORB_PRODUCER,강화 가치++,0,,1,Skill,Basic,CARD_POOL.DEFECT_CARD_POOL,CARD_POOL.DEFECT_CARD_POOL,53,"가장 오른쪽의 구체를
2번 [gold]발현[/gold]합니다.",,ORB,,B,0,1.98
CARD.DUAL_WIELD,이도류+,True,B,ml-published,B,,,,,1,Skill,Event,CARD_POOL.EVENT_CARD_POOL,CARD_POOL.EVENT_CARD_POOL,54,"공격이나 파워 카드를
1장 선택합니다.
그 카드의 복사본을 [green]2장[/green]
[gold]손[/gold]으로 가져옵니다.",,,,B,0,1.99
CARD.DUAL_WIELD,이도류,False,B,ml-published,B,,,,"공격이나 파워 카드를
1장 선택합니다.
그 카드의 복사본을 [green]2장[/green]
[gold]손[/gold]으로 가져옵니다.",1,Skill,Event,CARD_POOL.EVENT_CARD_POOL,CARD_POOL.EVENT_CARD_POOL,51,"공격이나 파워 카드를
1장 선택합니다.
그 카드의 복사본을 [green]1장[/green]
[gold]손[/gold]으로 가져옵니다.",,,,B,0,1.94
